datetime,open,high,low,close,volume,dividends,stock splits,Score_Sentimento,ma7,ma21,rsi,std,upper_band,lower_band,target_swing
2024-04-02 13:00:00-03:00,126750.546875,126921.4609375,126669.21875,126921.4609375,0,0.0,0.0,0.5,126938.22544642857,127488.59598214286,26.986074290399216,534.913576461174,128558.4231350652,126418.76882922051,0.00019057060816463078
2024-04-02 14:00:00-03:00,126912.3125,127219.5234375,126684.59375,127174.6796875,0,0.0,0.0,0.5,126967.140625,127495.56510416667,34.34616225059811,539.7475531430845,128575.06021045284,126416.0699978805,0.007193784090890221
2024-04-02 15:00:00-03:00,127157.421875,127429.0703125,127107.203125,127383.046875,0,0.0,0.0,0.5,127040.99107142857,127494.71577380953,39.51477128335451,538.1556893072616,128571.02715242405,126418.404395195,0.007688792967568858
2024-04-02 16:00:00-03:00,127366.6796875,127654.0390625,127366.6796875,127654.0390625,0,0.0,0.0,0.5,127126.47991071429,127492.36867559524,38.47286886415717,533.8283703841856,128560.02541636361,126424.71193482686,0.0071330488771623735
2024-04-03 10:00:00-03:00,127546.078125,127551.9296875,126330.28125,126405.59375,0,0.0,0.0,0.5,127030.22209821429,127424.81845238095,29.024210881285825,562.2922682101746,128549.4029888013,126300.23391596059,0.016655154451976184
2024-04-03 11:00:00-03:00,126432.390625,126656.671875,126181.3671875,126475.703125,0,0.0,0.0,0.5,126966.5234375,127346.82924107143,34.657652743320014,561.6276175896686,128470.08447625078,126223.5740058921,0.017860458623166986
2024-04-03 12:00:00-03:00,126507.7109375,126665.953125,126357.8203125,126503.7734375,0,0.0,0.0,0.5,126931.18526785714,127264.83370535714,38.93422502755235,553.8182863573553,128372.47027807185,126157.19713264244,0.01694335575340733
2024-04-03 13:00:00-03:00,126513.6484375,126922.0625,126409.9765625,126922.0625,0,0.0,0.0,0.5,126931.27120535714,127207.63541666667,46.57457923263443,521.743673457343,128251.12276358136,126164.14806975199,0.015180021893356876
2024-04-03 14:00:00-03:00,126936.078125,127693.5625,126908.3125,127493.78125,0,0.0,0.0,0.5,126976.85714285714,127181.25558035714,56.70788691463128,490.2992593179745,128161.85409899309,126200.6570617212,0.015990240700465508
2024-04-03 15:00:00-03:00,127497.328125,127497.328125,127270.6484375,127270.9609375,0,0.0,0.0,0.5,126960.84486607143,127146.44717261905,55.05589257386815,405.9098949018027,127958.26696242265,126334.62738281545,0.01762608725490522
2024-04-03 16:00:00-03:00,127285.7109375,127376.7109375,127104.2578125,127286.671875,0,0.0,0.0,0.5,126908.36383928571,127097.10267857143,53.016299747273344,346.10073519830155,127789.30414896803,126404.90120817484,0.017130745842277584
2024-04-04 10:00:00-03:00,127312.6875,129072.9765625,127312.6875,129003.03125,0,0.0,0.0,0.5,127279.42633928571,127143.96354166667,67.41575576847177,550.1961271536777,128244.35579597403,126043.57128735931,0.0026851355479291517
2024-04-04 11:00:00-03:00,128970.0390625,129318.1171875,128362.03125,128362.03125,0,0.0,0.0,0.5,127548.90178571429,127183.7734375,61.99190376090078,615.9799427612969,128415.73332302259,125951.81355197741,0.009385806988778
2024-04-04 12:00:00-03:00,128343.6328125,129435.359375,128329.84375,129406.34375,0,0.0,0.0,0.5,127963.5546875,127289.11979166667,69.29727937352231,791.3697184373663,128871.8592285414,125706.38035479194,0.0011198373920520144
2024-04-04 13:00:00-03:00,129387.4296875,129627.1328125,129186.921875,129201.6171875,0,0.0,0.0,0.5,128289.20535714286,127386.23400297618,66.48907921944385,893.8244260850729,129173.88285514632,125598.58515080604,0.004732791959659366
2024-04-04 14:00:00-03:00,129182.9375,129306.3671875,128778.0,128778.0,0,0.0,0.0,0.5,128472.66517857143,127472.22098214286,61.31562899403521,934.2622206484198,129340.7454234397,125603.69654084601,0.0029202387053688383
