datetime,open,high,low,close,volume,dividends,stock splits,Score_Sentimento
2024-03-27 14:00:00-03:00,127040.8125,127108.078125,126968.859375,127028.328125,0,0.0,0.0,0.5
2024-03-27 15:00:00-03:00,127011.1328125,127516.1171875,127011.1328125,127400.8828125,0,0.0,0.0,0.5
2024-03-27 16:00:00-03:00,127400.8984375,127755.9296875,127400.8984375,127703.328125,0,0.0,0.0,0.5
2024-03-28 10:00:00-03:00,127689.1875,127957.7734375,127270.1875,127824.1484375,0,0.0,0.0,0.5
2024-03-28 11:00:00-03:00,127882.4609375,128128.6875,127882.4609375,128113.4765625,0,0.0,0.0,0.5
2024-03-28 12:00:00-03:00,128105.7421875,128363.9765625,128051.5078125,128225.6796875,0,0.0,0.0,0.5
2024-03-28 13:00:00-03:00,128231.5390625,128244.75,128035.7890625,128123.2265625,0,0.0,0.0,0.5
2024-03-28 14:00:00-03:00,128124.25,128124.25,127835.359375,128047.7578125,0,0.0,0.0,0.5
2024-03-28 15:00:00-03:00,128059.2734375,128173.7890625,127923.71875,128001.9375,0,0.0,0.0,0.5
2024-03-28 16:00:00-03:00,128007.640625,128322.90625,127964.15625,128322.90625,0,0.0,0.0,0.5
2024-04-01 10:00:00-03:00,128106.1015625,128658.859375,127892.359375,128018.953125,0,0.0,0.0,0.5
2024-04-01 11:00:00-03:00,128031.203125,128031.203125,127428.3125,127526.0234375,0,0.0,0.0,0.5
2024-04-01 12:00:00-03:00,127528.2109375,127528.2109375,127146.9296875,127194.0703125,0,0.0,0.0,0.5
2024-04-01 13:00:00-03:00,127189.359375,127286.6875,127142.8203125,127162.21875,0,0.0,0.0,0.5
2024-04-01 14:00:00-03:00,127172.7578125,127172.7578125,126876.71875,126972.2734375,0,0.0,0.0,0.5
2024-04-01 15:00:00-03:00,126973.53125,127036.7734375,126853.25,126866.09375,0,0.0,0.0,0.5
2024-04-01 16:00:00-03:00,126808.3671875,127055.6171875,126771.796875,127055.6171875,0,0.0,0.0,0.5
2024-04-02 10:00:00-03:00,126990.453125,127192.6484375,126753.640625,127079.3984375,0,0.0,0.0,0.5
2024-04-02 11:00:00-03:00,127135.359375,127298.6328125,126807.6171875,126921.59375,0,0.0,0.0,0.5
2024-04-02 12:00:00-03:00,126914.359375,127038.5078125,126681.640625,126751.140625,0,0.0,0.0,0.5
2024-04-02 13:00:00-03:00,126750.546875,126921.4609375,126669.21875,126921.4609375,0,0.0,0.0,0.5
2024-04-02 14:00:00-03:00,126912.3125,127219.5234375,126684.59375,127174.6796875,0,0.0,0.0,0.5
2024-04-02 15:00:00-03:00,127157.421875,127429.0703125,127107.203125,127383.046875,0,0.0,0.0,0.5
2024-04-02 16:00:00-03:00,127366.6796875,127654.0390625,127366.6796875,127654.0390625,0,0.0,0.0,0.5
2024-04-03 10:00:00-03:00,127546.078125,127551.9296875,126330.28125,126405.59375,0,0.0,0.0,0.5
2024-04-03 11:00:00-03:00,126432.390625,126656.671875,126181.3671875,126475.703125,0,0.0,0.0,0.5
2024-04-03 12:00:00-03:00,126507.7109375,126665.953125,126357.8203125,126503.7734375,0,0.0,0.0,0.5
2024-04-03 13:00:00-03:00,126513.6484375,126922.0625,126409.9765625,126922.0625,0,0.0,0.0,0.5
2024-04-03 14:00:00-03:00,126936.078125,127693.5625,126908.3125,127493.78125,0,0.0,0.0,0.5
2024-04-03 15:00:00-03:00,127497.328125,127497.328125,127270.6484375,127270.9609375,0,0.0,0.0,0.5
2024-04-03 16:00:00-03:00,127285.7109375,127376.7109375,127104.2578125,127286.671875,0,0.0,0.0,0.5
2024-04-04 10:00:00-03:00,127312.6875,129072.9765625,127312.6875,129003.03125,0,0.0,0.0,0.5
2024-04-04 11:00:00-03:00,128970.0390625,129318.1171875,128362.03125,128362.03125,0,0.0,0.0,0.5
